1,red,Hlemmur » Kópavogur » Garðabær » Fjörður » Vellir,Vellir » Fjörður » Garðabær » Kópavogur » Hlemmur
2,red,Hlemmur » Kringlan » Hamraborg » Smáralind » Salahverfi,Salahverfi » Smáralind » Hamraborg » Kringlan » Hlemmur
3,red,Hlemmur » Kringlan » Mjódd » Sel » Berg » Hólar » Mjódd,Mjódd » Sel » Berg » Hólar » Mjódd » Kringlan » Hlemmur
4,red,Hlemmur » Borgartún » Hamraborg » Mjódd » Hólar » Berg » Sel » Mjódd,Mjódd » Hólar » Berg » Sel » Mjódd » Hamraborg » Borgartún » Hlemmur
5,red,Hlemmur » Sæbraut » Ártún » Selásbraut » Norðlingaholt,Norðlingaholt » Selásbraut » Ártún » Sæbraut » Hlemmur
6,red,Hlemmur » Kringlan » Ártún » Spöngin » Barðastaðir » (Grafarholt),(Grafarholt) » Barðastaðir » Spöngin » Ártún » Kringlan » Hlemmur
11,green,Mjódd » Hlemmur » Seltjarnarnes,Seltjarnarnes » Hlemmur » Mjódd
12,green,Skerjafjörður » Hlemmur » Mjódd » Ártún,Ártún » Mjódd » Hlemmur » Skerjafjörður
13,green,Sléttuvegur » Hlemmur » Lækjartorg » Eiðistorg,Eiðistorg » Lækjartorg » Hlemmur » Sléttuvegur
14,green,Grandi » Hlemmur » Vogar » Verzló,Verzló » Vogar » Hlemmur » Grandi
15,green,Mosfellsbær » Ártún » Hlemmur » Vesturbær,Vesturbær » Hlemmur » Ártún » Mosfellsbær
17,green,Hlemmur » Mjódd » Berg » Fell,Berg » Fell » Mjódd » Hlemmur
18,green,Háholt » Egilshöll » Korputorg » Grafarholt » Ártún » Bústaðavegur » Hlemmur,Hlemmur » Bústaðavegur » Ártún » Grafarholt » Korputorg » Egilshöll » Háholt
19,green,Nauthóll » Hlemmur » Ártún » Norðlingaholt,Norðlingaholt » Ártún » Hlemmur » Nauthóll
21,blue,Fjörður » Sólvangur » Kauptún » Mjódd,Mjódd » Kauptún » Sólvangur » Fjörður
22,blue,Fjörður » Hraun,Hraun » Fjörður
23,blue,Ásgarður » Álftanes » Ásgarður
24,blue,Spöngin » Ártún » Mjódd » Smáralind » Garðabær,Garðabær » Smáralind » Mjódd » Ártún » Spöngin
26,blue,Spöngin » Úlfarsárdalur » Grafarholt » Árbær,Árbær » Grafarholt » Úlfarsárdalur » Spöngin
28,blue,Hamraborg » Lindir » Salahverfi » Vatnsendi » Mjódd,Mjódd » Vatnsendi » Salahverfi » Lindir » Hamraborg
31,blue,Gufunesbær » Hamrar » Fjallkonuvegur » Hús » Egilshöll,Egilshöll » Hús » Fjallkonuvegur » Hamrar » Gufunesbær
33,blue,Fjörður » Háholt » Ásar » Berg » Fjörður
34,blue,Fjörður » Berg » Ásar » Háholt » Fjörður
35,blue,Hamraborg » Kársnes » Engihjalli » Hamraborg
43,blue,Fjörður » Hjallabraut » Kaplakriki » Setberg » Fjörður
44,blue,Fjörður » Öldutúnsskóli » Vörðutorg » Ásvallalaug » Holt » Fjörður
