,,,,,90000295,90000052,90000053,90000054,90000055,90000056,90000296,90000297,90000298,90000458,90000460,90000015,10000802,10000802,10000854,13001201,13001523,13001300,13001525,14001526,14001527,14001528,14001500,14001500,14001561,14001626,14001542,14001543,14001544,14001620,14001612,14001616,14001617,14001602,14001660,14001603,14001604,14001647,14001648,14001649,14001655
From (time),To (time),Every (minutes),Days,Schedule Type,Hlemmur,Barónsstígur,Frakkastígur,Þjóðleikhúsið,Lækjartorg,Ráðhúsið,Háskóli Íslands,BSÍ,Landspítalinn,Klambratún,Hlíðar,Kringlan,Hamraborg,Hamraborg,Sunnuhlíð,Arnarneshæð,Hegranes,Ásgarður,Ásar,Hjallabraut,Hraunbrún,Hellisgerði,Fjörður,Fjörður,Lækjargata,Grænakinn,Flensborg,Hlíðarbraut,Suðurbæjarlaug,Kelduhvammur,Haukahús,Ásvallalaug,Kirkjutorg,Kirkjuvellir,Akurvellir,Daggarvellir,Hraunvallaskóli,Hvannavellir,Glitvellir,Hnoðravellir,Klukkuvellir
6:35:00,6:50:00,15,weekdays,A,,,,,,,,,,,,,,0,1,2,1,2,1,2,1,2,2,2,3,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,2
6:42:00,18:12:00,15,weekdays,A,0,1,1,1,2,1,2,2,1,2,2,2,5,1,1,2,1,2,1,2,1,2,2,2,3,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,2
18:45:00,23:45:00,30,weekdays,B,0,1,1,1,2,1,2,1,1,2,1,2,4,1,1,1,1,1,1,2,1,1,2,3,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
7:35:00,,,saturdays,B,,,,,,,,,,,,,,0,1,1,1,1,1,2,1,1,2,3,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
7:45:00,9:45:00,30,saturdays,B,0,1,1,1,2,1,2,1,1,2,1,2,4,1,1,1,1,1,1,2,1,1,2,3,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
10:12:00,17:42:00,30,saturdays,A,0,1,1,1,2,1,2,2,1,2,2,2,5,1,1,2,1,2,1,2,1,2,2,2,3,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,2
18:15:00,23:45:00,30,saturdays,B,0,1,1,1,2,1,2,1,1,2,1,2,4,1,1,1,1,1,1,2,1,1,2,3,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
11:35:00,,,sundays,B,,,,,,,,,,,,,,0,1,1,1,1,1,2,1,1,2,3,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
11:45:00,23:45:00,30,sundays,B,0,1,1,1,2,1,2,1,1,2,1,2,4,1,1,1,1,1,1,2,1,1,2,3,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
