,,,,,14001655,14001638,14001639,14001640,14001613,14001614,14001661,14001615,14001618,14001619,14001605,14001610,14001611,14001587,14001580,14001541,14001634,14001597,14001500,14001500,14001501,14001502,14001503,13001504,13001300,13001506,13001507,10000856,10000802,10000802,90000016,90000481,90000483,90000330,90000331,90000332,90000003,90000004,90000001,90000002,90000027,90000028,90000295
From (time),To (time),Every (minutes),Days,Schedule Type,Klukkuvellir,Hnoðravellir,Glitvellir,Hvannavellir,Hraunvallaskóli,Daggarvellir,Akurvellir,Kirkjuvellir,Kirkjutorg,Ásvallalaug,Haukahús,Ástjörn,Suðurhvammur,Suðurbæjarlaug,Jófríðarstaðavegur,Flensborg,Grænakinn,Lækjargata,Fjörður,Fjörður,Sjónarhóll,Hraunbrún,Stakkahraun,Hraunsholt,Ásgarður,Silfurtún,Arnarneshæð,Hlíðarhvammur,Hamraborg,Hamraborg,Kringlan,Hlíðar,Klambratún,Landspítalinn,BSÍ,Háskóli Íslands,Fríkirkjuvegur,Menntaskólinn í Reykjavík / MR,Stjórnarráðið,Þjóðleikhúsið,Frakkastígur,Barónsstígur,Hlemmur
6:35:00,,,weekdays,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,1,2,1,1,2,2,1,1,1,1,1
6:35:00,,,weekdays,A,,,,,,,,,,,,,,,,,,,,0,1,2,1,2,2,1,1,2,2,1,4,2,1,2,1,1,2,2,1,1,1,1,1
6:31:00,17:46:00,15,weekdays,A,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,4,2,1,2,1,1,2,2,1,1,1,1,1
18:07:00,23:37:00,30,weekdays,B,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,2,1,1,2,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1
7:35:00,,,saturdays,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,1,1,1,1,1,2,1,1,1,1,1
7:37:00,9:37:00,30,saturdays,B,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,2,1,1,2,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1
10:01:00,17:31:00,30,saturdays,A,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,4,2,1,2,1,1,2,2,1,1,1,1,1
18:07:00,23:37:00,30,saturdays,B,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,2,1,1,2,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1
11:35:00,,,sundays,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,1,1,1,1,1,2,1,1,1,1,1
11:37:00,23:37:00,30,sundays,B,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,2,1,1,2,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1
