,,,,,90000075,90000076,90000077,90000078,90000079,90000080,90000081,90000084,90000288,90000086,90000087,90000088,90000089,90000090,90000091,90000092,90000093,90000295,90000052,90000053,90000054,90000055,90000056,90000254,90000255,90000274,90000275,90000276,11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107,11000108,11000147,11000109,11000110
From (time),To (time),Every (minutes),Days,Schedule Type,Mjódd,Víkin,Bústaðakirkja,Ásgarður Fossvogi,Grímsbær,Furugerði,Borgarspítalinn,RÚV,Austurver,Fellsmúli,Miðbær,Háaleitisbraut / Múlar,Lágmúli,Háteigsvegur / Skipholt,Háteigskirkja,Háteigsvegur / Langahlíð,Rauðarárstígur,Hlemmur,Barónsstígur,Frakkastígur,Þjóðleikhúsið,Lækjartorg,Ráðhúsið,Þjóðarbókhlaðan,Hagatorg,Melaskóli,Ægisíða / Hofsvallagata,Kaplaskjól,Grænamýri,Nesvegur / Skerjabraut,Eiðistorg,Íþróttamiðstöð Seltjarnarness,Suðurströnd / Bakkavör,Suðurströnd / Miðbraut,Lindarbraut / Hæðarbraut,Lindarbraut / Hofgarðar,Norðurströnd / Bollagarðar,Norðurströnd / Barðaströnd,Norðurströnd / Fornaströnd,Norðurströnd / Austurströnd
6:43:00,,,weekdays,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,0,1,0
6:42:00,,,weekdays,A,,,,,,,,,,,,,,,,,,0,1,1,1,2,1,2,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0
6:37:00,8:52:00,15,weekdays,A,0,3,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0
9:22:00,13:22:00,30,weekdays,A,0,3,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0
14:13:00,,,weekdays,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,0,1,0
13:52:00,18:07:00,15,weekdays,A,0,3,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0
18:22:00,23:22:00,30,weekdays,B,0,2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
7:39:00,,,saturdays,B,,,,,,,,,,,,,,,,,,0,1,1,1,2,1,2,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
7:52:00,10:52:00,30,saturdays,B,0,2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
11:22:00,17:52:00,30,saturdays,A,0,3,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0
18:22:00,23:22:00,30,saturdays,B,0,2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
11:39:00,,,sundays,B,,,,,,,,,,,,,,,,,,0,1,1,1,2,1,2,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
11:52:00,23:22:00,30,sundays,B,0,2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
