,,,,,11000102,11000103,11000104,11000105,11000106,11000107,11000108,11000147,11000109,11000110,11000111,11000112,11000113,90000114,90000176,90000171,90000209,90000210,90000003,90000004,90000001,90000002,90000027,90000028,90000295,90000119,90000120,90000121,90000122,90000124,90000125,90000126,90000127,90000267,90000083,90000132,90000133,90000134,90000135,90000136,90000137,90000138,90000075
From (time),To (time),Every (minutes),Days,Schedule Type,Eiðistorg,Íþróttamiðstöð Seltjarnarness,Suðurströnd / Bakkavör,Suðurströnd / Miðbraut,Lindarbraut / Hæðarbraut,Lindarbraut / Hofgarðar,Norðurströnd / Bollagarðar,Norðurströnd / Barðaströnd,Norðurströnd / Fornaströnd,Norðurströnd / Austurströnd,Eiðistorg,Nesvegur / Skerjabraut,Grænamýri,Kaplaskjól,Hofsvallagata / Ægisíða,Melaskóli,Hótel Saga,Þjóðarbókhlaðan,Fríkirkjuvegur,Menntaskólinn í Reykjavík / MR,Stjórnarráðið,Þjóðleikhúsið,Frakkastígur,Barónsstígur,Hlemmur,Rauðarárstígur,Háteigsvegur / Langahlíð,Háteigskirkja,Háteigsvegur / Bólstaðarhlíð,Háaleitisbraut / Lágmúli,Háaleitisbraut / Mýri,Miðbær,Fellsmúli,Austurver,RÚV,Borgarspítalinn,Eyrarland,Grímsbær,Ásgarður Fossvogi,Bústaðakirkja,Víkin,Blesugróf,Mjódd
6:51:00,,,weekdays,A,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3
6:43:00,8:58:00,15,weekdays,A,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3
9:13:00,,,weekdays,A,0,0,1,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:28:00,13:58:00,30,weekdays,A,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3
14:13:00,18:28:00,15,weekdays,A,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3
18:43:00,,,weekdays,A,0,0,1,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:53:00,23:23:00,30,weekdays,B,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,3
23:53:00,,,weekdays,B,0,0,1,1,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:43:00,,,saturdays,B,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,3
7:53:00,11:23:00,30,saturdays,B,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,3
11:58:00,18:28:00,30,saturdays,A,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3
18:53:00,22:53:00,30,saturdays,B,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,3
23:23:00,,,saturdays,B,0,0,1,1,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:43:00,,,sundays,B,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,3
11:53:00,23:23:00,30,sundays,B,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,3
23:53:00,,,sundays,B,0,0,1,1,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
