,,,,,90000020,90000021,90000022,90000055,90000056,90000296,90000297,90000298,90000292,90000295,90000030,90000031,90000036,90000213,90000214,90000215,90000216,90000217,90000218,90000219,90000220,90000221,90000222,90000223,90000044,90000085,90000224,90000225,90000422,90000556,90000423,90000080,90000081,90000324,90000287
From (time),To (time),Every (minutes),Days,Schedule Type,Grandi,Grandagarður,Mýrargata,Lækjartorg,Ráðhúsið,Háskóli Íslands,BSÍ,Landspítalinn,Snorrabraut,Hlemmur,Þjóðskjalasafnið,Gamla sjónvarpshúsið,Teigar,Laugardalslaug,Brúnavegur / Laugarásvegur,Hrafnista,Austurbrún / Dragavegur,Austurbrún / Hólsvegur,Langholtsvegur / Hólsvegur,Sunnutorg,Langholtsvegur / Holtavegur,Langholtskirkja,Skeiðarvogur / Langholtsvegur,Menntaskólinn við Sund / MS,Gnoðarvogur / Ljósheimar,Glæsibær,Grensásvegur / Ármúli,Grensás,Heiðargerði,Grensásvegur / Skálagerði,Álmgerði,Furugerði,Borgarspítalinn,Leiti,Verzló
6:48:00,,,weekdays,A,,,,,,,,,,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2
6:49:00,8:34:00,15,weekdays,A,0,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2
9:04:00,14:04:00,30,weekdays,A,0,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2
14:19:00,17:49:00,15,weekdays,A,0,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2
18:08:00,23:08:00,30,weekdays,B,0,1,1,2,1,2,2,1,1,2,0,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,0,1,1,1,1,2
7:51:00,,,saturdays,B,,,,,,,,,,0,0,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,0,1,1,1,1,2
8:08:00,11:08:00,30,saturdays,B,0,1,1,2,1,2,2,1,1,2,0,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,0,1,1,1,1,2
11:34:00,17:34:00,30,saturdays,A,0,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2
18:08:00,23:08:00,30,saturdays,B,0,1,1,2,1,2,2,1,1,2,0,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,0,1,1,1,1,2
11:51:00,,,sundays,B,,,,,,,,,,0,0,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,0,1,1,1,1,2
12:08:00,23:08:00,30,sundays,B,0,1,1,2,1,2,2,1,1,2,0,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,2,1,0,1,1,1,1,2
