,,,,,90000287,90000083,90000132,90000133,90000435,90000557,90000437,90000239,90000240,90000045,90000241,90000242,90000040,90000243,90000244,90000245,90000247,90000248,90000249,90000250,90000251,90000037,90000049,90000050,90000295,90000011,90000330,90000331,90000332,90000003,90000004,90000061,90000062,90000063,90000064,90000020
From (time),To (time),Every (minutes),Days,Schedule Type,Verzló,RÚV,Borgarspítalinn,Eyrarland,Hæðargarður,Grensásvegur / Breiðagerði,Heiðargerði,Grensás,Grensásvegur / Skeifan,Glæsibær,Gnoðarvogur / Ljósheimar,Menntaskólinn við Sund / MS,Nökkvavogur,Langholtskirkja,Langholtsvegur / Holtavegur,Sunnutorg,Austurbrún / Hólsvegur,Austurbrún / Dragavegur,Hrafnista,Sundlaugarvegur / Laugarásvegur,Laugardalslaug,Tún,Hátún,Fíladelfía,Hlemmur,Snorrabraut,Landspítalinn,BSÍ,Háskóli Íslands,Fríkirkjuvegur,Menntaskólinn í Reykjavík / MR,Mýrargata,Grandagarður,Grunnslóð,Fiskislóð,Grandi
6:40:00,6:55:00,15,weekdays,A,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,2,1,2,1,1,1,1,1
6:45:00,8:45:00,15,weekdays,A,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1
9:15:00,13:45:00,30,weekdays,A,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1
14:00:00,17:45:00,15,weekdays,A,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1
18:15:00,23:15:00,30,weekdays,B,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1
7:37:00,,,saturdays,B,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,1,1,2,1,1,1,1,1
7:45:00,11:15:00,30,saturdays,B,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1
11:45:00,18:15:00,30,saturdays,A,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1
18:45:00,23:15:00,30,saturdays,B,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1
11:37:00,,,sundays,B,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,1,1,2,1,1,1,1,1
11:45:00,23:15:00,30,sundays,B,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1
