,,,,,16040617,16040618,16040655,16040651,16040622,16040619,16040634,16040635,16040636,16040637,16040638,16040639,16040649,16040641,90000772,90000645,90000019,90000019,90000414,90000415,90000239,90000240,90000046,90000047,90000048,90000049,90000050,90000295,90000011,90000330,90000331,90000174,90000177,90000205,90000206,90000207,90000233,90000208,90000275,90000099,90000115,90000116
From (time),To (time),Every (minutes),Days,Schedule Type,Reykjavegur,Reykjavegur / Dælustöðvarvegur,Reykjalundur,Reykjavegur / Völuteigur,Reykjavegur / Jónsteigur,Háholt,Varmárskóli,Skeiðholt,Álfatangi / Þverholt,Álfatangi / Arnartangi,Álfatangi / Skeljatangi,Lágafellsskóli,Baugshlíð / Blikastaðavegur,Baugshlíð / Skálatún,Vesturlandsvegur / Úlfarsá,Vesturlandsvegur / Viðarhöfði,Ártún,Ártún,Gerði,Skeifan,Grensás,Grensásvegur / Skeifan,Fjölskyldu og húsdýragarðurinn,Laugardalshöll,Nordica,Hátún,Fíladelfía,Hlemmur,Snorrabraut,Landspítalinn,BSÍ,Íslensk Erfðagreining,Reykjavíkurflugvöllur,Þorragata,Skerjagarðar,Stúdentagarðar,Hjarðarhagi / Dunhagi,Hjarðarhagi / Vesturgarður,Ægisíða / Hofsvallagata,Kaplaskjólsvegur / Ægissíða,KR,Meistaravellir
6:36:00,6:51:00,30,weekdays,A,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
6:43:00,8:43:00,15,weekdays,A,0,1,,1,1,2,1,1,1,1,1,1,1,1,4,2,3,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
9:13:00,13:13:00,30,weekdays,A,0,1,,1,1,2,1,1,1,1,1,1,1,1,4,2,3,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
13:28:00,17:58:00,15,weekdays,A,0,1,,1,1,2,1,1,1,1,1,1,1,1,4,2,3,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
18:16:00,23:16:00,30,weekdays,B,0,0,,1,2,2,1,1,1,0,1,1,1,1,3,2,2,1,1,1,1,1,1,1,0,1,0,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
7:36:00,,,saturdays,B,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,0,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
7:46:00,11:46:00,30,saturdays,B,0,0,,1,2,2,1,1,1,0,1,1,1,1,3,2,2,1,1,1,1,1,1,1,0,1,0,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
12:13:00,17:43:00,30,saturdays,A,0,1,,1,1,2,1,1,1,1,1,1,1,1,4,2,3,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
18:16:00,23:16:00,30,saturdays,B,0,0,,1,2,2,1,1,1,0,1,1,1,1,3,2,2,1,1,1,1,1,1,1,0,1,0,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
11:36:00,,,sundays,B,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,0,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
11:46:00,23:16:00,30,sundays,B,0,0,,1,2,2,1,1,1,0,1,1,1,1,3,2,2,1,1,1,1,1,1,1,0,1,0,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1
