,,,,,90000116,90000117,90000169,90000170,90000172,90000173,90000256,90000257,90000204,90000178,90000175,90000297,90000298,90000292,90000295,90000030,90000031,90000032,90000033,90000034,90000224,90000225,90000395,90000396,90000018,90000018,90000600,90000771,16040604,16040606,16040616,16040607,16040608,16040609,16040610,16040611,16040612,16040613,16040650,16040655,16040614,16040615
From (time),To (time),Every (minutes),Days,Schedule Type,Meistaravellir,Meistaravellir / Grandavegur,Hofsvallagata / Reynimelur,Hagi,Hjarðarhagi / Vesturgarður,Hjarðarhagi / Dunhagi,Suðurgata / Hjarðarhagi,Skerjagarðar,Þorragata,Reykjavíkurflugvöllur,Íslensk Erfðagreining,BSÍ,Landspítalinn,Snorrabraut,Hlemmur,Þjóðskjalasafnið,Gamla sjónvarpshúsið,Nordica,Laugardalshöll,Orkuhúsið,Grensásvegur / Ármúli,Grensás,Skeifan,Gerði,Ártún,Ártún,Vesturlandsvegur / Hálsar,Vesturlandsvegur / Úlfarsá,Baugshlíð / Skálatún,Baugshlíð / Klapparhlíð,Lágafellsskóli,Álfatangi / Bollatangi,Álfatangi / Brekkutangi,Álfatangi / Þverholt,Skeiðholt,Varmárskóli,Háholt,Reykjavegur / Jónsteigur,Reykjavegur / Völuteigur,Reykjalundur,Reykjavegur / Dælustöðvarvegur,Reykjavegur
6:47:00,,,weekdays,A,,,,,,,,,,,,,,,0,0,1,1,1,1,1,2,2,1,2,2,1,2,4,0,1,1,1,1,1,1,2,1,1,,1,2
6:46:00,9:01:00,15,weekdays,A,0,0,1,1,1,1,1,1,1,1,1,2,1,2,2,0,1,1,1,1,1,2,2,1,2,2,1,2,4,0,1,1,1,1,1,1,2,1,1,,1,2
9:31:00,13:31:00,30,weekdays,A,0,0,1,1,1,1,1,1,1,1,1,2,1,2,2,0,1,1,1,1,1,2,2,1,2,2,1,2,4,0,1,1,1,1,1,1,2,1,1,,1,2
13:46:00,18:16:00,15,weekdays,A,0,0,1,1,1,1,1,1,1,1,1,2,1,2,2,0,1,1,1,1,1,2,2,1,2,2,1,2,4,0,1,1,1,1,1,1,2,1,1,,1,2
18:32:00,23:02:00,30,weekdays,B,0,0,1,1,1,1,1,1,1,1,1,2,1,2,2,0,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,,1,2
7:48:00,,,saturdays,B,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,,1,2
8:02:00,11:32:00,30,saturdays,B,0,0,1,1,1,1,1,1,1,1,1,2,1,2,2,0,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,,1,2
12:01:00,17:31:00,30,saturdays,A,0,0,1,1,1,1,1,1,1,1,1,2,1,2,2,0,1,1,1,1,1,2,2,1,2,2,1,2,4,0,1,1,1,1,1,1,2,1,1,,1,2
18:02:00,23:02:00,30,saturdays,B,0,0,1,1,1,1,1,1,1,1,1,2,1,2,2,0,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,,1,2
11:48:00,,,sundays,B,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,,1,2
12:02:00,23:02:00,30,sundays,B,0,0,1,1,1,1,1,1,1,1,1,2,1,2,2,0,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,,1,2
