,,,,,90000295,90000030,90000031,90000032,90000033,90000034,90000224,90000225,90000013,90000015,10000802,10000802,10000854,13001202,10000826,10000873,10000875,10000876,10000877,10000887,10000889,10000911,10000905
From (time),To (time),Every (minutes),Days,Schedule Type,Hlemmur,Þjóðskjalasafnið,Gamla sjónvarpshúsið,Nordica,Laugardalshöll,Orkuhúsið,Grensásvegur / Ármúli,Grensás,Kringlan,Kringlan,Hamraborg,Hamraborg,Sunnuhlíð,Arnarneshæð,Fífuhvammsvegur / Arnarsmári,Smárar,Smáralind,Lindir,Salavegur / Ársalir,Salavegur / Fensalir,Salavegur / Kórsalir,Salavegur / Rjúpnasalir,Versalir
6:33:00,7:03:00,15,weekdays,A,,,,,,,,,,,,,,,,,,,0,1,1,1,3
6:46:00,9:16:00,15,weekdays,A,0,0,1,1,1,1,1,2,3,2,5,2,1,2,1,2,1,2,2,1,1,1,3
9:46:00,14:16:00,30,weekdays,A,0,0,1,1,1,1,1,2,3,2,5,2,1,2,1,2,1,2,2,1,1,1,3
14:31:00,18:16:00,15,weekdays,A,0,0,1,1,1,1,1,2,3,2,5,2,1,2,1,2,1,2,2,1,1,1,3
18:48:00,23:18:00,30,weekdays,B,0,0,1,1,1,1,1,1,3,2,4,2,1,2,1,1,1,1,2,1,1,1,3
7:48:00,,,saturdays,B,,,,,,,,,,,,,,,,,,,0,1,1,1,3
7:48:00,11:48:00,30,saturdays,B,0,0,1,1,1,1,1,1,3,2,4,2,1,2,1,1,1,1,2,1,1,1,3
12:16:00,18:16:00,30,saturdays,A,0,0,1,1,1,1,1,2,3,2,5,2,1,2,1,2,1,2,2,1,1,1,3
18:48:00,23:18:00,30,saturdays,B,0,0,1,1,1,1,1,1,3,2,4,2,1,2,1,1,1,1,2,1,1,1,3
11:48:00,,,sundays,B,,,,,,,,,,,,,,,,,,,0,1,1,1,3
11:48:00,23:18:00,30,sundays,B,0,0,1,1,1,1,1,1,3,2,4,2,1,2,1,1,1,1,2,1,1,1,3
