,,,,,90000295,90000212,90000182,90000037,90000015,10000802,10000802,10000859,10000820,10000857,10000819,10000846,10000849,10000850,10000852,10000832,10000818,90000075,90000075,90000139,90000140,90000717,90000718,90000719,90000720,90000721,90000722,90000723,90000524,90000525,90000526,90000383,90000384,90000436,90000424,90000425,90000426,90000427,90000428,90000429,90000071,90000431,90000432,90000433,90000434,90000068,90000075
From (time),To (time),Every (minutes),Days,,Hlemmur,Höfðatorg,Hótel Cabin,Tún,Kringlan,Hamraborg,Hamraborg,Kópavogsskóli,Menntaskólinn í Kópavogi / MK,Digranesvegur / Brattabrekka,Álfhólsvegur / Túnbrekka,Nýbýlavegur / Lundarbrekka,Nýbýlavegur / Þverbrekka,Nýbýlavegur / Álfabrekka,Nýbýlavegur / Efstihjalli,Smiðjuvegur / Grá gata,Smiðjuvegur / Gul gata,Mjódd,Mjódd,Dvergabakki,Eyjabakki,Vesturhólar / Höfðabakki,Vesturhólar / Fýlshólar,Vesturhólar / Hrafnhólar,Norðurhólar / Smyrilshólar,Norðurhólar / Stelkshólar,Suðurhólar / Þrastarhólar,Suðurhólar / Austurberg,Gerðuberg,Norðurfell / Austurberg,Fellaskóli,Norðurfell / Æsufell,Suðurfell,Jaðarsel / Seljabraut,Jaðarsel / Jakasel,Jaðarsel / Jórusel,Jaðarsel / Klyfjasel,Jaðarsel / Melsel,Jaðarsel / Holtasel,Hólmasel,Rangársel,Skógarsel / Stíflusel,Skógarsel / Strandasel,Íþróttamiðstöð ÍR,Skógarsel / Árskógar,Stekkjarbakki,Mjódd
6:36:00,,,weekdays,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,1,1,1,2,1,1,1
6:36:00,,,weekdays,A,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
6:35:00,,,weekdays,A,,,,,,,0,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
6:34:00,8:19:00,15,weekdays,A,0,1,2,1,5,5,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
8:49:00,13:19:00,30,weekdays,A,0,1,2,1,5,5,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
13:34:00,17:49:00,15,weekdays,A,0,1,2,1,5,5,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
18:19:00,23:49:00,30,weekdays,A,0,1,2,1,5,5,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
7:36:00,,,saturdays,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,1,1,1,2,1,1,1
7:51:00,,,saturdays,A,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
7:49:00,23:49:00,30,saturdays,A,0,1,2,1,5,5,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
11:36:00,,,sundays,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,1,1,1,2,1,1,1
11:51:00,,,sundays,A,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
11:49:00,23:49:00,30,sundays,A,0,1,2,1,5,5,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
