,,,,,90000644,90000753,90000761,90000762,90000547,90000548,90000550,90000542,90000294,90000771,90000158,90000190,90000291,90000443,90000418,90000518,90000440,90000754,90000367,90000366,90000366,90000633,90000468,90000470,90000472,90000368,90000369,90000370,90000371,90000494,90000495,90000496,90000497,90000498,90000499,90000262,90000374,90000019,90000019,90000414,90000415,90000013,90000481,90000483,90000330,90000331,90000332,90000003,90000004,90000001,90000002,90000027,90000028,90000295
From (time),To (time),Every (minutes),Days,Schedule Type,Bauhaus,Mímisbrunnur / Úlfarsbraut,Jónsgeisli / Reynisvatnsvegur,Jónsgeisli / Kristnibraut,Kristnibraut / Prestastígur,Ingunnarskóli,Kristnibraut / Maríubaugur,Þúsöld,Þúsöld / Húsasmiðjan,Vesturlandsvegur / Úlfarsá,Barðastaðir,Bakkastaðir / Barðastaðir,Korpuskóli,Korpúlfsstaðavegur / Brúnastaðir,Korpúlfsstaðir,Egilshöll,Borgavegur / Víkurvegur,Borgavegur / Gullengi,Borgavegur,Spöngin,Spöngin,Borgarholtsskóli,Skólavegur,Gullengi / Laufengi,Gullengi / Borgavegur,Langirimi / Mosarimi,Miðgarður,Langirimi / Flétturimi,Langirimi / Hallsvegur,Fjallkonuvegur / Gagnvegur,Fjallkonuvegur / Reykjafold,Fjallkonuvegur / Jöklafold,Fjallkonuvegur / Frostafold,Fjallkonuvegur / Hverafold,Funafold,Gullinbrú,Höfðar,Ártún,Ártún,Gerði,Skeifan,Kringlan,Hlíðar,Klambratún,Landspítalinn,BSÍ,Háskóli Íslands,Fríkirkjuvegur,Menntaskólinn í Reykjavík / MR,Stjórnarráðið,Þjóðleikhúsið,Frakkastígur,Barónsstígur,Hlemmur
6:51:00,,,weekdays,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1
6:43:00,18:13:00,15,weekdays,A,,,,,,,,,,,0,,,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1
18:30:00,23:00:00,30,weekdays,B,0,1,2,0,1,0,1,1,0,1,3,1,0,1,1,1,1,1,1,1,3,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
23:30:00,0:30:00,30,weekdays,B,0,1,2,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:30:00,9:30:00,30,saturdays,B,0,1,2,0,1,0,1,1,0,1,3,1,0,1,1,1,1,1,1,1,3,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
10:00:00,17:30:00,30,saturdays,C,0,1,2,0,1,0,1,1,0,1,3,1,0,1,1,1,1,1,1,1,2,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1
18:00:00,23:00:00,30,saturdays,B,0,1,2,0,1,0,1,1,0,1,3,1,0,1,1,1,1,1,1,1,3,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
23:00:00,0:30:00,30,saturdays,B,0,1,2,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:30:00,23:00:00,30,sundays,B,0,1,2,0,1,0,1,1,0,1,3,1,0,1,1,1,1,1,1,1,3,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
23:30:00,0:30:00,30,sundays,B,0,1,2,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
