stopId,long_name,short_name,latitude,longitude,accusative_case,genitive_case
10000802,Hamraborg,Hamraborg,64.111089,-21.908351,Hamraborg,Hamraborgar
10000804,Kópavogsbraut / Sunnuhlíð,Sunnuhlíð,64.109082,-21.909596,Sunnuhlíð,Sunnuhlíðar
10000805,Kópavogsbraut / Urðarbraut,Urðarbraut,64.109198,-21.917279,Urðarbraut,Urðarbrautar
10000806,Kársnesskóli,Kársnesskóli,64.109192,-21.924001,Kársnesskóla,Kársnesskóla
10000807,Kópavogsbraut / Kópavör,Kópavör,64.109299,-21.930667,Kópavör,Kópavarar
10000808,Kópavogsbraut / Borgarholtsbraut,Borgarholtsbraut,64.111244,-21.935374,Borgarholtsbraut,Borgarholtsbrautar
10000809,Kársnesbraut / Vesturvör,Vesturvör,64.113604,-21.929884,Vesturvör,Vesturvarar
10000810,Kársnesbraut / Litlavör,Litlavör,64.113682,-21.923298,Litluvör,Litluvarar
10000811,Hlíðarhjalli / Bakkahjalli,Bakkahjalli,64.107374,-21.87409,Bakkahjalla,Bakkahjalla
10000812,Kársnesbraut / Sæbólsbraut,Sæbólsbraut,64.114526,-21.903531,Sæbólsbraut,Sæbólsbrautar
10000814,Skeljabrekka,Skeljabrekka,64.114422,-21.899866,Skeljabrekku,Skeljabrekku
10000815,Smiðjuvegur / Gul gata,Gul gata,64.112718,-21.849335,Gulri götu,Gulrar götu
10000817,Vatnsendavegur / Kóravegur,Kóravegur,64.085384,-21.819622,Kóravegi,Kóravegar
10000818,Smiðjuvegur / Gul gata,Gul gata,64.11267,-21.849234,Gulri götu,Gulrar götu
10000819,Álfhólsvegur / Túnbrekka,Túnbrekka,64.111758,-21.884427,Túnbrekku,Túnbrekku
10000820,Menntaskólinn í Kópavogi / MK,MK,64.110166,-21.89586,MK,MK
10000821,Menntaskólinn í Kópavogi / MK,MK,64.110274,-21.895669,MK,MK
10000822,Kópavogsskóli,Kópavogsskóli,64.110379,-21.900322,Kópavogsskóla,Kópavogsskóla
10000823,Vatnsendavegur / Kóravegur,Kóravegur,64.08531,-21.818631,Kóravegi,Kóravegar
10000824,Vatnsendavegur / Elliðahvammsvegur,Elliðahvammsvegur,64.08708,-21.812594,Elliðahvammsvegi,Elliðahvammsvegar
10000825,Fífuhvammsvegur / Arnarsmári,Arnarsmári,64.099645,-21.904513,Arnarsmára,Arnarsmára
10000826,Fífuhvammsvegur / Arnarsmári,Arnarsmári,64.099711,-21.903924,Arnarsmára,Arnarsmára
10000827,Arnarnesvegur / Bæjarbraut,Bæjarbraut,64.09869,-21.905116,Bæjarbraut,Bæjarbrautar
10000828,Álfhólsvegur / Túnbrekka,Túnbrekka,64.11183,-21.884425,Túnbrekku,Túnbrekku
10000830,Vatnsendavegur / Akurhvarf,Akurhvarf,64.087088,-21.812927,Akurhvarfi,Akurhvarfs
10000831,Lindir,Lindir,64.09858,-21.870174,Lindum,Linda
10000832,Smiðjuvegur / Grá gata,Grá gata,64.110889,-21.85211,Grárri götu,Grárrar götu
